Date,ABCO,ADUS,ADVM,AERI,AEZS,AIRT,ALCO,ALDX,AMCC,APDN,APPF,AROW,ARTX,ASBB,ASRV,ATAX,ATLO,ATRI,AVGR,AXSM,AXTI,AYA,BCOV,BDSI,BHBK,BJRI,BLBD,BOOM,BPFH,BVSN,BYBK,CALM,CARB,CCOI,CDNA,CDTX,CEMP,CFFI,CFRX,CGIX,CHDN,CHKE,CHMA,CHRS,CLCD,CLRO,CLWT,CMFN,CNFR,CONN,COVS,CPLA,CPSI,CRAY,CRVL,CRWS,CTBI,CUNB,CVLT,CWAY,CYAN,CYNO,CYRN,CYTK,DGICB,DGII,DMRC,DMTX,DRWI,DXYN,EACQ,EAGL,EBSB,EGBN,EIGR,ENFC,ENOC,ENTG,ENZY,ESXB,EVOL,EXFO,EXPO,EZPW,FARM,FFIN,FISI,FLWS,FMNB,FNGN,FONR,FORM,FRP,FUNC,FVE,GIFI,GLDD,GLRE,GPP,HA,HAFC,HBHC,HBK,HNH,HTBI,HWAY,IBCP,IBOC,ICUI,IOTS,ITRI,IXYS,JIVE,JTPY,KEQU,LABL,LCNB,LMRK,LOGM,LPSN,MATW,MDCA,MEOH,MFSF,MGEE,MGLN,MITK,MLHR,MMLP,MNTA,MSON,MTRX,MTSC,NBN,NCOM,NEOS,NTIC,NVCR,NVEE,OLED,OLLI,ONB,ORRF,OVBC,PAAC,PCMI,PCYO,PERF,PESI,PFBX,PICO,PKOH,PNFP,PNRG,PNTR,PRTO,RECN,REGI,RGLS,ROCK,RTIX,RXDX,SAL,SCMP,SEDG,SFBC,SGRY,SHOO,SIGM,SNFCA,SPOK,SRNE,SSB,SSBI,SSFN,STML,STMP,STRT,SVBI,SYBT,SYUT,TAST,TBK,TCX,TGTX,TREE,TRS,TTNP,TWMC,ULH,USAT,USCR,VASC,VDSI,WDFC,WNEB,WSCI,XELB,XXIA
20-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
